Location,lat,lon
keele and glenlake,,
bloor and manning,,
parliament and bloor,,
main station,43.8199228,-79.1814626
yonge and queensquay,,
victoria park and danf,,
danforth and woodbine,,
gardiner and parklawn,,
kingston and southwood,,
fresh medow and don mi,,
lakeshore and thirty s,,
bay and yorkville,,
eglinton and south ser,,
bloor and dundas w,,
pioneer village,43.7771531,-79.5103187
dundas and bloor,,
danforth and sibley (w,,
finch and kennedy,,
duplex and eglinton,,
eglinton and bessborou,,
keele and ian macdonal,,
terminal 3,43.782182,-79.4150981
eglinton garage,43.7212731,-79.291332
eglinton division,,
kennedy station,43.7324979,-79.2637005
leslie and eglinton,,
queens quay and lower,,
eglinton and lebovic,,
yonge and st clair,,
york mills and birchwo,,
east york acres,43.6986615,-79.3113104
eglinton and bayview,,
scarborough centre sta,43.7744371,-79.257805
humberline loop,43.7473988,-79.6225983
ellesmere and meadowva,,
avenue and wilson,,
annette and keele,,
eglinton and markham,,
pioneer village statio,,
arrow garage,43.7456717,-79.5321807
keele and ypres,,
burnhamthorpe and mart,,
eglinton west station,43.6992438,-79.4361076
avenue and 401,43.645212,-79.4110529
village gate and bathu,,
kipling and n heights,,
markham and steeles,,
steeles and bayview lo,,
mcnicoll and kennedy,,
1700 wilson,43.7218632,-79.5118085
pharmacy and lawrence,,
ellesmere and markham,,
guildwood and kingston,,
annette and runnymede,,
bay and wellesley,43.6608087,-79.3849397
kingston and guildwood,,
weston and lanyard,,
st clair and mondovi (,,
sheppard and jane,,
neilson and crow trail,,
steeles and woodbine,,
ellesmere and pharmacy,,
grandravine and ollert,,
humberline and albion,,
oconnor and dohme,,
steeles and martin gro,,
north service and egli,,
mccowan and 401,,
mccowan and hwy 401,,
avenue and hwy 401,,
mccowan and progress,,
mccowan and milner,,
milner and mccowan,,
pine and lawrence,,
dundas and dundas west,43.6563275,-79.3809079
bayview and steeles,,
university ave and wel,,
don mills and lawrence,,
finch and yonge,,
yonge and drewry,,
yonge and steeles,,
queensway division,,
tapscott and finch,,
arrow road division,,
eglinton and martin gr,,
lawrence and caledonia,,
morningside and ellesm,,
arrow division,,
victoria park and dray,,
lansdowne and dundas,,
warden and lawrence,,
bathurst and finch,,
mcnicoll garage,43.8145707,-79.2988279
bathust and finch,,
runnemede station,,
eglinton and don mills,,
eglinton and dunfield,,
avenue road and orchar,,
roe loop,,
humber college,43.7299048,-79.6015296
signet and ormond,,
summerhill and jean,,
centennial college and,43.7853544,-79.2281357
keele and wilson,,
jane and lawrence,,
bathurst and wilson,,
finch and skymark,,
birchmount garage,43.7061515,-79.2709822
bay and bloor,,
wilson division,,
burnhamthorpe and bloo,,
hwy 27 and dixon,,
dufferin and dane,,
parliament and st. jam,,
yonge and wilson,,
jane and sheppard,,
hwy 27 and queen's pla,,
dundas and hwy 427,,
triton and brimley,,
steeles loop,43.7641596,-79.5763408
pape station,43.6800489,-79.3445666
steels and markham,,
carlaw and queen,,
thorncliffe park and o,,
lansdowne and rideau,,
1 carlton st,43.6612168,-79.3828093
highway 27 and eglinto,,
pape and sammon,,
keele and dundas,,
westwood mall,,
morning star and gorew,,
markham and blakemanor,,
lawrence and scarlett,,
st clair and w of king,,
passmore and kennedy,,
yonge and york mills,43.7432644,-79.4067115
dufferin and steeles,,
northcliffe and st. cl,,
meadowvale and sheppar,,
eglinton and keele,,
norfinch and finch,,
carrier loop,,
antibes and bathurst,,
queensway garage,43.6161818,-79.5284823
yorkdale station,43.7246418,-79.4475031
petrolia and steeles,,
old weston and rogers,,
kipling and evans,,
st. clair and winona,,
islington and barkwin,,
steeles and peter kais,,
pearson airport termin,,
midland and eglinton,,
bloor and sherbourne,,
dixon and islington,,
bradstock and weston,,
renforth station,43.6650821,-79.5900043
lawrence and jane,,
brimley and skagway av,,
ellesmere and parkingt,,
ellesmere and mccowan,,
rogers and nairn,,
davisville and yonge,,
1388 eglinton ave w,43.6985,-79.43797
