trip_id,route_id,route_short_name,route_long_name,route_color,route_text_color,direction_id,scheduled_hour,dir_E,dir_N,dir_S,dir_W,dir_UNKNOWN
99648020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
69797010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
99726070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
69535070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
91982020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
79560080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
92327080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
79847080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
93029080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
79962080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,5,0,1,0,0,0
93067080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
82468070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
93088010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
74149010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
93390020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
83520020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
93948070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
74402080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
94381020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
75381020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
96282080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
68893020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
96434080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
68832070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
91078020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
6857080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
88206010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
77880080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
96068080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,21,0,1,0,0,0
77929020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
88382020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
78273010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
95506080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
78306070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
8782020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
6496080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
87975080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
65012020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
