route,location_id,avg_gap,median_gap,avg_delay,median_delay,major_delay_rate,gapping_rate,bunching_rate,n_incidents
925,17606,2.952,0.0,1.476,0.0,0.0,0.0,0.857,21
25,17606,11.706,0.0,7.324,0.0,0.118,0.088,0.647,34
47,5708,13.476,12.0,7.714,6.5,0.024,0.024,0.643,42
960,23771,8.15,7.0,4.65,3.0,0.1,0.0,0.6,20
110,20414,20.182,17.5,13.409,10.0,0.227,0.0,0.545,22
39,24088,18.85,20.0,9.35,10.0,0.25,0.0,0.45,20
100,17606,11.852,14.0,6.541,6.0,0.082,0.082,0.41,61
63,5774,14.36,15.0,7.36,9.0,0.08,0.08,0.4,25
925,19101,15.643,17.5,8.679,9.0,0.143,0.143,0.393,28
97,27243,32.269,44.0,16.615,24.5,0.0,0.0,0.385,26
925,7479,13.892,18.0,7.649,10.0,0.135,0.027,0.378,37
73,3115,30.56,40.0,16.28,21.0,0.04,0.0,0.36,25
11,4311,29.769,35.5,18.192,17.5,0.231,0.192,0.346,26
100,19224,13.583,16.0,8.917,8.5,0.125,0.083,0.333,24
100,19123,13.786,14.5,8.595,8.0,0.107,0.06,0.333,84
85,16193,20.417,20.0,11.889,11.5,0.111,0.056,0.333,36
925,7500,13.963,18.0,8.037,9.0,0.111,0.0,0.333,27
25,7440,13.127,14.0,7.413,7.0,0.087,0.056,0.325,126
925,7440,16.781,18.0,11.271,9.0,0.208,0.115,0.323,96
63,26592,14.045,12.0,7.375,6.0,0.098,0.027,0.321,112
96,26430,26.48,33.0,12.8,16.0,0.12,0.04,0.32,25
53,17918,12.364,13.0,6.0,6.0,0.045,0.091,0.318,22
100,19101,13.061,16.0,6.727,8.0,0.03,0.061,0.318,66
925,7504,17.5,19.0,10.364,9.5,0.045,0.045,0.318,22
925,19123,17.25,18.0,9.808,9.0,0.173,0.058,0.308,52
85,24530,19.209,16.0,9.744,8.0,0.047,0.0,0.302,43
100,18590,12.037,16.0,6.037,8.0,0.037,0.037,0.296,27
35,18065,18.968,20.0,10.452,12.0,0.387,0.194,0.29,31
59,26592,42.806,36.0,24.226,24.0,0.194,0.161,0.29,31
85,21902,29.516,30.0,17.065,15.0,0.161,0.097,0.29,31
47,14979,28.452,19.0,17.762,9.5,0.119,0.095,0.286,42
68,25299,33.619,24.0,18.81,12.0,0.095,0.095,0.286,21
100,7217,12.429,16.0,6.476,8.0,0.095,0.095,0.286,21
39,10527,27.84,30.0,16.0,15.0,0.28,0.08,0.28,25
37,12509,37.227,40.0,21.909,19.5,0.227,0.091,0.273,22
123,20414,26.227,22.0,14.5,14.5,0.136,0.045,0.273,22
72,17606,10.919,14.0,5.514,7.0,0.0,0.0,0.27,37
39,10342,25.385,20.0,13.538,10.0,0.269,0.077,0.269,26
960,23310,13.333,15.5,9.867,8.0,0.133,0.033,0.267,30
97,27278,49.824,56.5,25.706,29.0,0.118,0.147,0.265,34
100,22971,16.789,16.0,11.263,8.0,0.158,0.132,0.263,38
25,7500,14.049,17.0,7.131,9.0,0.098,0.033,0.262,61
85,16198,23.429,24.0,12.036,12.0,0.048,0.012,0.262,84
97,26592,46.152,53.5,26.304,28.0,0.043,0.065,0.261,46
