hour,time_phase,avg_gap,median_gap,avg_delay,median_delay,major_delay_rate,gapping_rate,bunching_rate,n_incidents
2,overnight,25.93,20.0,14.637,12.0,0.402,0.343,0.38,1392
3,overnight,32.167,34.0,16.987,17.0,0.474,0.457,0.318,633
1,overnight,26.782,20.0,15.116,10.5,0.322,0.265,0.219,2388
4,overnight,27.829,22.0,17.516,15.0,0.447,0.313,0.213,1487
5,early_morning,23.565,20.0,13.631,10.0,0.212,0.146,0.167,5308
16,pm_peak,23.529,20.0,12.588,10.0,0.111,0.111,0.13,10914
15,pm_peak,24.01,20.0,12.888,10.0,0.105,0.103,0.106,10649
14,midday,24.212,20.0,12.768,10.0,0.102,0.097,0.103,10293
8,am_peak,24.326,20.0,13.16,10.0,0.125,0.115,0.099,6422
6,early_morning,24.733,20.0,13.438,10.0,0.131,0.123,0.098,7138
22,evening,29.429,22.0,16.224,11.0,0.242,0.21,0.096,4719
9,am_peak,25.284,20.0,13.455,10.0,0.129,0.122,0.095,7221
17,pm_peak,24.86,20.0,13.205,10.0,0.115,0.113,0.091,10409
19,evening,26.414,20.0,14.285,10.0,0.163,0.136,0.082,7148
7,am_peak,24.692,20.0,13.267,10.0,0.123,0.12,0.081,6527
20,evening,27.138,20.0,14.722,10.0,0.179,0.155,0.079,6495
18,pm_peak,25.593,20.0,13.799,10.0,0.131,0.12,0.079,9556
23,overnight,30.086,20.0,16.383,10.0,0.272,0.229,0.078,3991
21,evening,27.65,20.0,15.056,10.0,0.194,0.157,0.076,5990
0,overnight,30.57,23.0,16.716,11.5,0.288,0.234,0.075,3318
13,midday,25.554,20.0,13.355,10.0,0.106,0.1,0.069,8871
10,midday,26.905,20.0,14.186,10.0,0.132,0.128,0.064,6974
11,midday,26.598,20.0,14.073,10.0,0.127,0.127,0.061,6845
12,midday,26.332,20.0,13.751,10.0,0.113,0.114,0.058,7400
