location,location_id,gtfs_stop_name,stop_lat,stop_lon,match_type
WARDEN STATION,1,Warden Ave at Cachet Pkwy (South),43.888425,-79.342218,fuzzy_90
KIPLING STATION,2,Kipling Station - Subway Platform,43.637392,-79.535892,station_exact
BROADVIEW STATION,3,Broadview Station at Bus Bay 2,43.677011,-79.358044,fuzzy_95
OVERLEA AND THORNCLIFF,4,Thorncliffe Park Dr at Milepost Pl,43.703301,-79.346929,fuzzy_86
DON MILLS STATION AND EGLINTON,5,Don Mills Rd at The Donway East (South) North Side,43.732636,-79.342026,fuzzy_86
ELM AND YONGE,6,Yonge St at Elm St,43.657876,-79.381484,intersection_exact
BATHURST AND DUNDAS STATION,7,Bathurst St at Wilson Ave South Side,43.736782,-79.43401,fuzzy_86
SHUTER AND YONGE,8,Yonge St at Shuter St,43.653972,-79.37982,intersection_exact
RENFORTH STATION,9,Renforth Station,43.663613,-79.590482,station_exact
FINCH AND MCCOWAN STATION,10,Finch Ave East at Maxome Ave East Side,43.783345,-79.398811,fuzzy_86
PIONEER VILLAGE STATION STATIO,11,Pioneer Village Station Bus Bay 8,43.777064,-79.50966,fuzzy_95
BIRCHMOUNT GARAGE,12,Birchmount Rd at Danforth Ave,43.696844,-79.263822,fuzzy_86
WOODBINE STATION CASINO,14,Woodbine Race Track Loop (Main Entrance),43.716054,-79.603623,fuzzy_86
MCCOWAN STATION AND STEELES,15,Steeles Ave East at Tarbert Rd,43.804084,-79.392106,fuzzy_86
CRESCENT AND YONGE,16,Yonge St at York Mills Rd North Side - York Mills Station,43.744863,-79.40666,fuzzy_86
KENNEDY STATION,18,Kennedy Station - Subway Platform,43.732791,-79.26448,station_exact
HUMBERWOOD LOOP,19,Humberwood Blvd at Arborwood Dr East Side,43.72349,-79.618315,fuzzy_90
FINCH STATION,20,Finch Station - Subway Platform,43.780847,-79.415291,station_exact
BLOOR AND DUFFERIN,21,Bloor St West at Dufferin St,43.659755,-79.435463,intersection_exact
MARTIN GRO AND STEELES,22,Steeles Ave West at Martin Grove Rd,43.758023,-79.60324,intersection_exact
JANE AND WILSON STATION,23,Wilson Ave at Jane St,43.721071,-79.508391,intersection_exact
FINCH AND MIDLAND STATION,24,Finch Ave East at Maxome Ave East Side,43.783345,-79.398811,fuzzy_86
KEELE STATION,25,Keele St at Glenlake Ave,43.658146,-79.461353,fuzzy_90
JANE AND WESTON,26,Weston Rd at Jane St,43.691276,-79.50065,intersection_exact
GERRARD AND ST MATTHEW,27,Gerrard St East at St Matthews Rd,43.664927,-79.35489,intersection_exact
NORTHOVER AND SHEPPARD,28,Sheppard Ave West at Northover St,43.741344,-79.501572,intersection_exact
JANE AND ST CLAIR STATION,30,St Clair Ave West at Jane St,43.667011,-79.492085,intersection_exact
ELMHURST AND ISLINGTON,31,Islington Ave at Elmhurst Dr,43.723031,-79.558639,intersection_exact
BIRCHMOUNT AND L AMORE,32,Finch Ave East at Birchmount Rd,43.799172,-79.305756,fuzzy_86
DON MILLS AND SHEPPARD,33,Don Mills Rd at Sheppard Ave East,43.77549,-79.347401,intersection_exact
KINGSTON AND LAWRENCE STATION,34,Kingston Rd at Lawrence Ave East,43.767363,-79.189589,intersection_exact
PEARSON AIRPORT,35,,,,unmatched
LOCKPO AND SHORNCLIFFE,36,Shorncliffe Ave at Lockport Ave,43.627616,-79.542736,intersection_exact
ELLESMERE AND ORTON,37,Ellesmere Rd at Pharmacy Ave,43.758847,-79.310443,fuzzy_86
BRIDLE WALK AND CASTLE,38,The Bridle Walk at Drawbridge Dr,43.897354,-79.308696,fuzzy_86
EGLINTON STATION,39,Eglinton Ave West at Everden Rd (Eglinton West Sta,43.698565,-79.436704,fuzzy_90
BROWNS LINE AND COULES,41,Brown's Line at Coules Crt (North) North Side,43.608822,-79.548079,fuzzy_90
