stop_id,stop_name,stop_lat,stop_lon
2,Bathurst St at Horsham Ave,43.768449,-79.441504
3,Royal York Rd at King Georges Rd,43.650225,-79.512691
7,Kennedy Rd at Huntingwood Dr,43.79502,-79.293198
8,Shorncliffe Ave at Newbridge Rd South Side,43.625815,-79.542151
9,Warden Ave at Tower Dr,43.754307,-79.298221
10,Thirtieth St at Alhena Ave,43.602452,-79.532974
12,Brown's Line at Woodbury Rd,43.599389,-79.544276
17,St Clair Ave East at Santamonica Blvd,43.712912,-79.276699
18,Driftwood Ave at Finch Ave West,43.757895,-79.513233
19,Rexdale Blvd at Martin Grove Rd,43.713759,-79.581288
25,Albion Rd at Finch Ave West,43.741208,-79.588821
28,Eglinton Ave East at Laird Dr East Side,43.713677,-79.363762
32,Yonge Blvd at Dunster Ave North Side,43.739877,-79.413594
34,Eglinton Ave East at Beachell St,43.742332,-79.222161
35,Keele St at Greenbrook Dr South Side,43.696812,-79.475456
42,Dufferin St at Gordon St,43.646696,-79.430224
44,Evans Ave at Gair Dr,43.610092,-79.551991
48,Elmhurst Dr at Muncey Ave,43.724247,-79.55368
50,Islington Ave at Norseman St,43.634118,-79.51889
54,Steeles Ave East at Midland Ave,43.826099,-79.297089
56,Bayview Ave at Hillcrest Ave,43.772666,-79.389534
58,Victoria Park Ave at Furnival Rd,43.712557,-79.297658
60,299 Norfinch Dr,43.768397,-79.531258
61,Kipling Ave at Hayhurst Rd,43.692199,-79.557813
63,Islington Ave at Finch Ave West South Side,43.74577,-79.568755
66,Sheppard Ave West at Yatescastle Dr,43.740433,-79.506722
69,Bayview Ave at Wilket Rd,43.74599,-79.383662
72,Hullmar Dr at Hisey Cres (South) North Side,43.770083,-79.529961
73,Davisville Ave at Forman Ave,43.701547,-79.380739
74,Warden Ave at Murray Glen Dr,43.756169,-79.299232
77,Main St Markham North at Bullock Dr,43.88138,-79.26167
81,Oakwood Ave at Highview Cres,43.676397,-79.43463
83,Weston Rd at Coral Gable Dr,43.73566,-79.538805
88,Albion Rd at Martin Grove Rd East Side,43.741652,-79.593301
90,84 Davisville Ave - Salvation Army,43.699124,-79.393026
