location,location_id,gtfs_stop_name,stop_lat,stop_lon,match_type,route
BATHURST AND DUNDAS STATION,7,Bathurst St at Dundas St West  - Toronto Western Hospital,43.652475,-79.406185,MATCHED_STOP_ONLY,7
BIRCHMOUNT GARAGE,12,Birchmount,43.730167,-79.277191,MATCHED_FACILITY,7
CRESCENT AND YONGE,16,,,,NO_STREET_MATCH,7
FINCH STATION,20,Finch,43.780846,-79.415291,MATCHED_FACILITY,7
BLOOR AND DUFFERIN,21,Dufferin St at Bloor St West - Dufferin Station,43.659958,-79.435506,MATCHED_STOP_ONLY,7
BATHURST AND BLOOR,43,Bloor St West at Bathurst St,43.665214,-79.411078,MATCHED_STOP_ONLY,7
BATHURST AND BURTON,44,Bathurst St at Burton Rd,43.691765,-79.421687,MATCHED_INTERSECTION,7
BATHURST AND SHEPPARD,46,Bathurst St at Sheppard Ave West,43.755214,-79.43823,MATCHED_INTERSECTION,7
SCARBOROUGH CENTRE STATION,49,Scarborough Centre,43.774647,-79.257286,MATCHED_FACILITY,7
VICTORIA PARK STATION,53,Victoria Park Ave at Victoria Park Station,43.694409,-79.289812,MATCHED_FACILITY,7
EGLINTON W STATION,66,Eglinton,43.70525,-79.398392,MATCHED_FACILITY,7
DAVISVILLE STATION,67,Davisville,43.697746,-79.396988,MATCHED_FACILITY,7
YORK MILLS STATION,75,Yonge St at Wilson Ave - York Mills Station,43.74429,-79.406957,MATCHED_FACILITY,7
YORKDALE STATION,78,Ranee Ave at Varna Dr - Yorkdale Station,43.723727,-79.446059,MATCHED_FACILITY,7
WILSON STATION,86,Wilson,43.734547,-79.45079,MATCHED_FACILITY,7
COXWELL STATION,101,Coxwell Station,43.68397,-79.322979,MATCHED_FACILITY,7
BATHURST AND DAVENPORT,102,Bathurst St at Davenport Rd,43.677048,-79.415789,MATCHED_INTERSECTION,7
BATHURST AND DREWRY,128,Bathurst St at Drewry Ave,43.780923,-79.444692,MATCHED_INTERSECTION,7
BATHURST STATION AND LAWRENCE,137,Bathurst St at Lawrence Ave West South Side,43.718829,-79.429826,MATCHED_INTERSECTION,7
WILSON STATION YARD,138,Wilson,43.734547,-79.45079,MATCHED_FACILITY,7
DUFFERIN AND EGLINTON,141,Dufferin St at Eglinton Ave West,43.695556,-79.450105,MATCHED_STOP_ONLY,7
STEELES AND YONGE,142,Yonge St at Steeles Ave West South Side,43.79729,-79.42005,MATCHED_STOP_ONLY,7
SHEPPARD W STATION,149,Sheppard Ave West at Dufferin St - Sheppard West Station,43.750543,-79.462607,MATCHED_FACILITY,7
ROYAL YORK STATION,158,Royal York,43.64835,-79.510994,MATCHED_FACILITY,7
DON MILLS STATION AND OVERLEA,161,Overlea Blvd at Don Mills Rd West Side,43.709806,-79.335373,MATCHED_STOP_ONLY,7
