location,location_id
WARDEN STATION,1
KIPLING STATION,2
BROADVIEW STATION,3
OVERLEA AND THORNCLIFF,4
DON MILLS STATION AND EGLINTON,5
ELM AND YONGE,6
BATHURST AND DUNDAS STATION,7
SHUTER AND YONGE,8
RENFORTH STATION,9
FINCH AND MCCOWAN STATION,10
PIONEER VILLAGE STATION STATIO,11
BIRCHMOUNT GARAGE,12
COXWELL AND MORTIMER,13
WOODBINE STATION CASINO,14
MCCOWAN STATION AND STEELES,15
CRESCENT AND YONGE,16
DOCKSIDE AND QUEEN STATION S Q,17
KENNEDY STATION,18
HUMBERWOOD LOOP,19
FINCH STATION,20
BLOOR AND DUFFERIN,21
MARTIN GRO AND STEELES,22
JANE AND WILSON STATION,23
FINCH AND MIDLAND STATION,24
KEELE STATION,25
JANE AND WESTON,26
GERRARD AND ST MATTHEW,27
NORTHOVER AND SHEPPARD,28
FENSIDE AND ROYWOOD,29
JANE AND ST CLAIR STATION,30
ELMHURST AND ISLINGTON,31
BIRCHMOUNT AND L AMORE,32
DON MILLS AND SHEPPARD,33
KINGSTON AND LAWRENCE STATION,34
PEARSON AIRPORT,35
LOCKPO AND SHORNCLIFFE,36
ELLESMERE AND ORTON,37
BRIDLE WALK AND CASTLE,38
EGLINTON STATION,39
DAVENPORT AND DOVERCOURT,40
BROWNS LINE AND COULES,41
LESLIE AND RAVEL,42
BATHURST AND BLOOR,43
BATHURST AND BURTON,44
WELLESLEY STATION,45
BATHURST AND SHEPPARD,46
ISLINGTON STATION,47
MAIN STREET STATION,48
SCARBOROUGH CENTRE STATION,49
CASTLE FRANK STATION,50
DUNDAS AND SHORNCLIFFE,51
DONLANDS STATION,52
VICTORIA PARK STATION,53
SPRINGHURST LOOP,54
STEELES AND VICTORIA PARK,55
LOWER AND QUEEN STATION QUAY,56
COMMISSIONERS AND SAUL,57
HALFWA AND MORNINGSIDE,58
LIPTON AND PAPE,59
BERTRAN AND BIRCHMOUNT,60
FOUR WINDS D AND KEELE,61
STEELES AND YONGE LOOP,62
TERMINAL 3 PEARSON A,63
BLOOR AND GREEN LANES,64
COLLINSGROVE AND LAWRE,65
EGLINTON W STATION,66
DAVISVILLE STATION,67
REI AND WILSON STATION HEIGHTS,68
EGLINTON AND OAKWOOD,69
SENECA AND WESTON,70
ISLINGTON STATION AND STEELES,71
EGLINTON GARAGE,72
SUNNYBROOK HOSPITAL,73
CONNOR AND DON MILLS STATION,74
YORK MILLS STATION,75
CONNER AND DON MILLS STATION,76
JANE AND LAWRENCE STATION,77
YORKDALE STATION,78
KENNEDY STATION AND LAWRENCE,79
HUMBER COLLEGE AND WEST,80
FINCH AND KEELE STATION,81
CASTL AND THEEAST MALL,82
LAWRENCE AND,83
SIGNAL HIL AND STEELES,84
EGLINTON AND JANE,85
WILSON STATION,86
CHRISTIE STATION,87
EGLINTON AND KEELE,88
DANFORTH,89
MILEPO AND THORNCLIFFE,90
SCARBOROUGH TOWN CENTR,91
LAWRENCE AND WARDEN STATION,92
CONNOR AND SUNRISE,93
HUMBER LOOP,94
JANE STATION AND LAWRENCE,95
MILNER AND NEILSON,96
ALNESS AND YORK UNIVER,97
EPIC LANE AND WILSON,98
ST PHILLIPS AND WESTON,99
LAWRENCE STATION AND PHARMACY,100
COXWELL STATION,101
BATHURST AND DAVENPORT,102
COMMISSIONERS,103
PIONNER VILLAGE STATIO,104
DUFFERIN STATION AND FINCH,105
BARRINGTON AND LIMSDEN,106
DUFFERIN AND DUNDAS STATION,107
BLOOR AND SHERBOURNE STATION,108
MILITARY TRAIL AND MOR,109
OAKWOOD AND ST CLAIR,110
ELLESMERE AND MARKHAM,111
GREENHOLM AND MARKHAM,112
MAIN STATION,113
ESTELLE AND FINCH,114
JANE STATION,115
MEADOWVALE AND SHEPPARD,116
LAWRENCE STATION AND PINE,117
JANE AND WOOLNER,118
DON MI AND FRESHMEADOW,119
JANE AND WILLIAM CRAGG,120
LAWRENCE AND PINE,121
COXWELL STATION AND SCARLETT,122
KIPLING STATION AND STEELES LOOP,123
SHEPPARD W AND WIL,124
KENNEDY STATION AND PROGRESS,125
MARKHAM AND STEELES,126
KENNEDY AND LAWRENCE STATION,127
BATHURST AND DREWRY,128
PARLIAMENT AND WELLESLEY,129
OSSINGTON STATION,130
BROADVIEW AND WOLFREY,131
14TH AND MARKHAM,132
CHALKFARM AND JANE,133
ARGYLE AND OSSINGTON,134
LAWRENCE STATION W STATION,135
KITTERY,136
BATHURST STATION AND LAWRENCE,137
WILSON STATION YARD,138
HILLCREST COOMPLEX,139
LAWRENCE AND MCCOWAN STATION,140
DUFFERIN AND EGLINTON,141
STEELES AND YONGE,142
COXWELL STATION AND DANFORTH,143
INGRAM AND KEELE,144
MARTIN GROVE AND THE W,145
JANE STATION AND WILSON,146
ST CLAIR STATION LAYOV,147
SHEPPARD STATION,148
SHEPPARD W STATION,149
MARKHAM EG,150
MARKHAM AND SHEPPARD,151
EGLINTON AND WESTON,152
